t,x,speed
0,0,18.430134
0,1,20.150087
0,2,18.600645
0,3,24.45981
0,4,24.801332
0,5,26.081524
0,6,23.528969
0,7,25.297623
0,8,25.801699
0,9,25.72463
0,10,26.967598
0,11,24.076845
0,12,21.08979
0,13,22.598295
0,14,23.913052
0,15,26.716982
0,16,26.62907
0,17,29.865059
0,18,31.235775
0,19,31.135973
0,20,31.975338
0,21,33.698734
0,22,34.172485
0,23,34.370136
0,24,35.60017
0,25,34.95268
0,26,32.866226
0,27,33.423252
0,28,33.11409
0,29,33.054253
0,30,32.387634
0,31,31.608232
0,32,32.38228
0,33,33.509975
0,34,32.084003
0,35,31.110315
0,36,33.245228
0,37,33.02049
0,38,34.521748
0,39,35.195812
0,40,35.142075
0,41,34.902107
0,42,34.69273
0,43,35.12132
0,44,35.68893
0,45,36.34205
0,46,37.84968
0,47,40.514812
0,48,42.056793
0,49,43.36604
0,50,47.065544
0,51,53.96443
0,52,55.69768
0,53,54.012733
0,54,55.396862
0,55,55.30986
0,56,58.36015
0,57,64.29751
0,58,63.163715
0,59,63.010635
0,60,65.22045
0,61,73.05101
0,62,75.71691
0,63,75.59073
0,64,68.00196
0,65,73.924385
0,66,74.88871
0,67,76.666954
0,68,79.12241
0,69,79.3543
0,70,84.98522
0,71,93.370445
0,72,92.20547
0,73,91.45333
0,74,98.74962
0,75,104.42813
0,76,106.10355
0,77,103.114914
0,78,101.60985
0,79,97.88603
0,80,94.64107
1,0,29.959
1,1,22.00838
1,2,15.333585
1,3,14.781067
1,4,11.2497
1,5,24.364
1,6,23.939667
1,7,22.586666
1,8,21.710857
1,9,21.706667
1,10,28.232725
1,11,25.440989
1,12,22.505955
1,13,23.96376
1,14,25.24811
1,15,27.926603
1,16,27.78117
1,17,30.996485
1,18,32.008495
1,19,31.885725
1,20,32.71087
1,21,33.60182
1,22,33.917393
1,23,33.94195
1,24,34.977856
1,25,34.37012
1,26,32.63556
1,27,33.201263
1,28,32.95519
1,29,32.67857
1,30,32.20571
1,31,31.74586
1,32,32.781147
1,33,34.14924
1,34,32.558357
1,35,31.60692
1,36,32.94171
1,37,32.93429
1,38,34.42518
1,39,35.52706
1,40,35.005615
1,41,34.849533
1,42,34.664356
1,43,35.340076
1,44,35.760685
1,45,36.015175
1,46,36.75421
1,47,39.420197
1,48,40.842148
1,49,42.14314
1,50,45.06311
1,51,51.80273
1,52,53.48796
1,53,51.580753
1,54,52.42535
1,55,52.254234
1,56,54.79491
1,57,58.894245
1,58,58.007675
1,59,57.326412
1,60,58.866
1,61,65.486015
1,62,67.99289
1,63,67.49883
1,64,60.11903
1,65,63.68719
1,66,64.81622
1,67,67.48231
1,68,68.80622
1,69,69.37874
1,70,72.92005
1,71,78.9375
1,72,78.3117
1,73,77.47294
1,74,83.171524
1,75,89.9884
1,76,95.21376
1,77,92.5702
1,78,89.758644
1,79,89.12858
1,80,89.86179
2,0,32.369335
2,1,27.052073
2,2,25.253439
2,3,20.065813
2,4,19.878553
2,5,20.316313
2,6,20.821167
2,7,21.301867
2,8,16.939083
2,9,21.706667
2,10,21.755903
2,11,12.9713335
2,12,1.8315
2,13,24.693436
2,14,26.109304
2,15,28.634235
2,16,28.66617
2,17,32.165894
2,18,32.737114
2,19,32.423237
2,20,32.904354
2,21,33.53366
2,22,33.656796
2,23,33.81655
2,24,34.31455
2,25,34.101788
2,26,32.43029
2,27,33.21737
2,28,32.833336
2,29,32.75245
2,30,32.50113
2,31,32.322315
2,32,33.342064
2,33,34.61558
2,34,32.93478
2,35,31.69205
2,36,33.06988
2,37,32.724083
2,38,34.320316
2,39,35.249435
2,40,35.5053
2,41,35.320377
2,42,35.599648
2,43,36.198063
2,44,36.81113
2,45,36.8066
2,46,37.392624
2,47,39.535168
2,48,40.693874
2,49,41.900215
2,50,44.70135
2,51,50.602413
2,52,51.922867
2,53,50.89535
2,54,51.29729
2,55,51.261765
2,56,53.167477
2,57,56.461586
2,58,56.03022
2,59,55.24161
2,60,56.37281
2,61,62.208065
2,62,63.943157
2,63,63.677677
2,64,56.618534
2,65,58.62175
2,66,58.868477
2,67,59.946842
2,68,62.14152
2,69,62.679474
2,70,65.98146
2,71,70.36992
2,72,70.35487
2,73,69.59054
2,74,73.38489
2,75,78.51776
2,76,82.29372
2,77,78.70459
2,78,76.67921
2,79,79.58413
2,80,82.70796
3,0,27.749332
3,1,29.363388
3,2,22.50761
3,3,25.026083
3,4,20.877228
3,5,16.371202
3,6,17.78817
3,7,18.138083
3,8,24.493334
3,9,18.194
3,10,16.379
3,11,23.5884
3,12,5.9062977
3,13,6.2675557
3,14,26.77094
3,15,29.03858
3,16,28.991316
3,17,32.046677
3,18,32.718513
3,19,32.094383
3,20,33.05598
3,21,33.733273
3,22,33.353218
3,23,33.269417
3,24,33.569244
3,25,33.742943
3,26,32.449184
3,27,33.171307
3,28,32.737923
3,29,32.552124
3,30,32.51217
3,31,32.460293
3,32,33.56841
3,33,34.914413
3,34,33.258556
3,35,32.066956
3,36,33.068775
3,37,33.09415
3,38,34.57248
3,39,35.43677
3,40,36.16295
3,41,35.81152
3,42,36.21188
3,43,37.49633
3,44,38.287895
3,45,38.020313
3,46,38.60528
3,47,40.32892
3,48,41.498894
3,49,42.32154
3,50,44.712326
3,51,50.197563
3,52,51.221638
3,53,49.839756
3,54,50.326813
3,55,50.39913
3,56,51.860634
3,57,54.448177
3,58,54.15805
3,59,54.16608
3,60,55.31394
3,61,60.083508
3,62,61.7786
3,63,60.610374
3,64,54.240826
3,65,55.966995
3,66,56.539623
3,67,57.368187
3,68,58.91315
3,69,58.915356
3,70,61.783257
3,71,64.82583
3,72,64.9644
3,73,62.211315
3,74,67.78286
3,75,71.60873
3,76,74.3384
3,77,71.24415
3,78,70.66256
3,79,72.16011
3,80,74.58175
4,0,36.696
4,1,27.371069
4,2,21.126854
4,3,19.189688
4,4,21.801723
4,5,22.856182
4,6,17.217733
4,7,21.548615
4,8,19.587246
4,9,28.066568
4,10,25.536793
4,11,16.440426
4,12,19.160921
4,13,12.865722
4,14,10.583183
4,15,29.353642
4,16,29.586473
4,17,32.249912
4,18,32.44615
4,19,32.056244
4,20,32.852905
4,21,33.609955
4,22,33.159786
4,23,33.422966
4,24,33.53224
4,25,33.710903
4,26,32.507896
4,27,33.0345
4,28,32.665874
4,29,32.228497
4,30,32.214016
4,31,32.122375
4,32,33.595055
4,33,34.926643
4,34,33.33555
4,35,32.53167
4,36,33.41131
4,37,33.407715
4,38,34.885
4,39,35.96132
4,40,36.72603
4,41,36.53045
4,42,36.798485
4,43,38.120476
4,44,38.74241
4,45,38.65995
4,46,39.55833
4,47,40.850334
4,48,42.057034
4,49,42.564854
4,50,44.80352
4,51,49.83174
4,52,51.07629
4,53,49.12898
4,54,49.56496
4,55,49.43718
4,56,50.833668
4,57,53.05543
4,58,52.97954
4,59,52.703514
4,60,53.724525
4,61,58.466076
4,62,59.72448
4,63,58.735477
4,64,52.828014
4,65,54.318954
4,66,55.303
4,67,55.336666
4,68,56.447952
4,69,56.56402
4,70,58.53402
4,71,60.774914
4,72,60.834675
4,73,57.612953
4,74,60.893337
4,75,66.193375
4,76,68.46659
4,77,65.36796
4,78,65.14965
4,79,66.15428
4,80,67.766655
5,0,34.62849
5,1,18.344666
5,2,21.263245
5,3,19.715778
5,4,20.016796
5,5,20.920483
5,6,20.93026
5,7,19.434221
5,8,17.08118
5,9,17.633034
5,10,26.630775
5,11,15.328178
5,12,10.687111
5,13,7.7244062
5,14,6.044946
5,15,11.436829
5,16,6.9666667
5,17,32.34134
5,18,32.4558
5,19,32.129204
5,20,33.189053
5,21,33.586483
5,22,33.159348
5,23,33.292435
5,24,33.364258
5,25,33.61858
5,26,32.4369
5,27,33.067783
5,28,32.473434
5,29,32.134617
5,30,31.932404
5,31,31.951426
5,32,33.541607
5,33,34.860397
5,34,33.308365
5,35,32.678364
5,36,33.71407
5,37,33.71984
5,38,35.03488
5,39,36.095566
5,40,36.946575
