Dataset,Method,Seed,Sensors,L2,RMSE,MSE,Time,Subdomains,Splits
20221121,C1,42,3,0.2061397135257721,6.6387954166204155,44.073604583740234,933.7542378902435,3,"x=[0.000,0.161];x=[0.161,0.593];x=[0.593,1.000]"
20221121,C1,123,3,0.20421910285949707,6.5769418844004734,43.25616455078125,681.2674345970154,2,"x=[0.000,0.528];x=[0.528,1.000]"
20221121,C1,456,3,0.20611797273159027,6.638095795926603,44.06431579589844,432.0806484222412,2,"x=[0.000,0.643];x=[0.643,1.000]"
20221121,C1,789,3,0.20223091542720795,6.512914592410767,42.41805648803711,433.2453670501709,2,"x=[0.000,0.588];x=[0.588,1.000]"
20221121,C1,1024,3,0.2066076248884201,6.653863756725592,44.273902893066406,624.0900192260742,3,"x=[0.000,0.583];x=[0.583,0.829];x=[0.829,1.000]"
20221121,C1,2048,3,0.20838016271591187,6.710948868587576,45.036834716796875,625.7307503223419,3,"x=[0.000,0.150];x=[0.150,0.583];x=[0.583,1.000]"
20221121,C1,3000,3,0.2076219618320465,6.686533350022775,44.7097282409668,626.476274728775,3,"x=[0.000,0.150];x=[0.150,0.578];x=[0.578,1.000]"
20221121,C1,4096,3,0.203374445438385,6.54974200490451,42.89912033081055,455.4652421474457,2,"x=[0.000,0.583];x=[0.583,1.000]"
20221121,C1,5555,3,0.2088942676782608,6.727505536936533,45.25933074951172,668.5563225746155,3,"x=[0.000,0.150];x=[0.150,0.623];x=[0.623,1.000]"
20221121,C1,7777,3,0.2062779664993286,6.643248562626853,44.13275146484375,660.2488806247711,3,"x=[0.000,0.161];x=[0.161,0.588];x=[0.588,1.000]"
20221121,C1,42,4,0.16120196878910065,5.1915631295662275,26.952327728271484,676.3850059509277,3,"x=[0.000,0.467];x=[0.467,0.714];x=[0.714,1.000]"
20221121,C1,123,4,0.15958751738071442,5.139566886554943,26.41514778137207,679.6002094745636,3,"x=[0.000,0.150];x=[0.150,0.814];x=[0.814,1.000]"
20221121,C1,456,4,0.16016818583011627,5.158270237813591,26.607751846313477,456.3543200492859,2,"x=[0.000,0.452];x=[0.452,1.000]"
20221121,C1,789,4,0.15996849536895752,5.151837859866184,26.541433334350586,705.3095664978027,3,"x=[0.000,0.513];x=[0.513,0.814];x=[0.814,1.000]"
20221121,C1,1024,4,0.16530926525592804,5.323839181089022,28.343263626098633,654.3283605575562,3,"x=[0.000,0.518];x=[0.518,0.850];x=[0.850,1.000]"
20221121,C1,2048,4,0.15718768537044525,5.062281851130298,25.626697540283203,663.2180213928223,3,"x=[0.000,0.503];x=[0.503,0.850];x=[0.850,1.000]"
20221121,C1,3000,4,0.1601649671792984,5.158166332756422,26.606679916381836,672.1558337211609,3,"x=[0.000,0.528];x=[0.528,0.850];x=[0.850,1.000]"
20221121,C1,4096,4,0.15690641105175018,5.053220556673216,25.535037994384766,701.3181350231171,3,"x=[0.000,0.497];x=[0.497,0.678];x=[0.678,1.000]"
20221121,C1,5555,4,0.15706875920295715,5.058450845592492,25.58792495727539,697.7988793849945,3,"x=[0.000,0.528];x=[0.528,0.814];x=[0.814,1.000]"
20221121,C1,7777,4,0.1629374474287033,5.247452799169955,27.5357608795166,956.0805065631866,3,"x=[0.000,0.492];x=[0.492,0.824];x=[0.824,1.000]"
20221121,C1,42,5,0.15091711282730103,4.860336552022481,23.62287139892578,724.8878879547119,2,"x=[0.000,0.523];x=[0.523,1.000]"
20221121,C1,123,5,0.14989548921585083,4.827431835797628,23.30409812927246,710.0496227741241,2,"x=[0.000,0.528];x=[0.528,1.000]"
20221121,C1,456,5,0.15312665700912476,4.931495202063824,24.319644927978516,590.4631576538086,2,"x=[0.000,0.588];x=[0.588,1.000]"
20221121,C1,789,5,0.14831353724002838,4.776483291403482,22.81479263305664,787.9375836849213,2,"x=[0.000,0.533];x=[0.533,1.000]"
20221121,C1,1024,5,0.1526799201965332,4.917109819688984,24.177968978881836,694.9347357749939,2,"x=[0.000,0.598];x=[0.598,1.000]"
20221121,C1,2048,5,0.15014290809631348,4.8353963373500015,23.381057739257812,492.00036358833313,2,"x=[0.000,0.558];x=[0.558,1.000]"
20221121,C1,3000,5,0.15386945009231567,4.955417427471995,24.556161880493164,661.0194725990295,3,"x=[0.000,0.150];x=[0.150,0.573];x=[0.573,1.000]"
20221121,C1,4096,5,0.15242178738117218,4.908793379376061,24.09625244140625,427.4433522224426,2,"x=[0.000,0.548];x=[0.548,1.000]"
20221121,C1,5555,5,0.15081559121608734,4.857063553266895,23.591066360473633,429.6153588294983,2,"x=[0.000,0.533];x=[0.533,1.000]"
20221121,C1,7777,5,0.15246976912021637,4.910339206391567,24.111431121826172,425.2429401874542,2,"x=[0.000,0.538];x=[0.538,1.000]"
20221121,C1,42,6,0.1490151584148407,4.799080903751462,23.031177520751953,651.2957353591919,3,"x=[0.000,0.457];x=[0.457,0.623];x=[0.623,1.000]"
20221121,C1,123,6,0.14935453236103058,4.810008010698972,23.13617706298828,652.5831859111786,3,"x=[0.000,0.487];x=[0.487,0.643];x=[0.643,1.000]"
20221121,C1,456,6,0.14748860895633698,4.7499146704789394,22.561689376831055,652.6069056987762,3,"x=[0.000,0.487];x=[0.487,0.643];x=[0.643,1.000]"
20221121,C1,789,6,0.1509055644273758,4.859961176901644,23.61922264099121,649.5289468765259,3,"x=[0.000,0.452];x=[0.452,0.638];x=[0.638,1.000]"
