Dataset,Method,Seed,Sensors,L2,RMSE,MSE,Time,Subdomains,Splits
20221121,B1,42,3,0.2263985276222229,7.291250540348938,53.16233444213867,0.0,0,
20221121,B2,42,3,0.4494378864765167,14.474299312097006,209.50534057617188,39.60249662399292,1,
20221121,B2,123,3,0.4020468592643738,12.948052125049845,167.6520538330078,38.79012680053711,1,
20221121,B2,456,3,0.4056035578250885,13.062598123136244,170.6314697265625,38.8533136844635,1,
20221121,B2,789,3,0.4781099259853363,15.397693788325038,237.08897399902344,39.376577377319336,1,
20221121,B2,1024,3,0.4395399689674377,14.15553750104034,200.3792419433593,38.22914862632752,1,
20221121,B2,2048,3,0.4283116161823272,13.793922877470694,190.2723083496093,40.7580189704895,1,
20221121,B2,3000,3,0.451120525598526,14.52849436237286,211.0771484375,39.02872014045715,1,
20221121,B2,4096,3,0.4324703216552734,13.927852011186356,193.9850616455078,38.54026818275452,1,
20221121,B2,5555,3,0.4871491193771362,15.688807702747493,246.13868713378903,39.92334079742432,1,
20221121,B2,7777,3,0.4256868362426758,13.709386041139844,187.947265625,39.60952162742615,1,
20221121,B3,42,3,0.2252592593431472,7.254558314122771,52.62861633300781,514.8228144645691,1,
20221121,B3,123,3,0.2268997877836227,7.307393173705462,53.39799499511719,580.1298429965973,1,
20221121,B3,456,3,0.2293915599584579,7.387642579227691,54.57726287841797,632.5091536045074,1,
20221121,B3,789,3,0.2169082015752792,6.985605971989719,48.79869079589844,618.0754065513611,1,
20221121,B3,1024,3,0.2292843759059906,7.384191442816211,54.52628326416016,553.2405660152435,1,
20221121,B3,2048,3,0.2275827080011367,7.329385937708353,53.71989822387695,626.2358136177063,1,
20221121,B3,3000,3,0.2231462001800537,7.186506650531589,51.645877838134766,621.9182057380676,1,
20221121,B3,4096,3,0.2196409702301025,7.07362232611411,50.0361328125,691.9824953079224,1,
20221121,B3,5555,3,0.2425477057695388,7.811341222656794,61.017051696777344,782.442099571228,1,
20221121,B3,7777,3,0.2257326692342758,7.269802803817755,52.85003280639648,521.2280027866364,1,
20221121,B4,42,3,0.2165302187204361,6.973433353492073,48.6287727355957,109.22552371025084,1,
20221121,B4,123,3,0.220520481467247,7.1019425327185735,50.43758773803711,107.42412066459656,1,
20221121,B4,456,3,0.2188470363616943,7.048048509549913,49.67498779296875,107.48231029510498,1,
20221121,B4,789,3,0.2161618918180465,6.961571798313666,48.46348190307617,108.16388511657716,1,
20221121,B4,1024,3,0.221265435218811,7.125936613928896,50.77897262573242,107.099054813385,1,
20221121,B4,2048,3,0.2174937576055526,7.004465586108098,49.062538146972656,112.86939787864684,1,
20221121,B4,3000,3,0.2150094509124755,6.924457008199158,47.94810485839844,111.26896977424622,1,
20221121,B4,4096,3,0.2185850143432617,7.03960820494999,49.55608367919922,110.7111463546753,1,
