Dataset,Method,Seed,Sensors,L2,RMSE,MSE,Time,Subdomains,Splits
20221121,B6,42,3,0.2526270449161529,8.135932961336836,66.19340515136719,801.3993427753448,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,123,3,0.2200367301702499,7.086352822982152,50.21639633178711,745.7012989521027,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,456,3,0.213133305311203,6.864030166435199,47.11491012573242,644.5759918689728,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,789,3,0.2524550557136535,8.130394186713684,66.10330963134766,802.2115521430969,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,1024,3,0.2584864497184753,8.324638968305877,69.29961395263672,758.6786584854126,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,2048,3,0.2137079834938049,6.882539533729509,47.36935043334961,540.7745599746704,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,3000,3,0.259493887424469,8.357082958262952,69.84083557128906,529.4440231323242,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,4096,3,0.210876777768135,6.791352091175833,46.12246322631836,548.8318266868591,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,5555,3,0.2114173918962478,6.8087674335994,46.35931396484375,513.9364001750946,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,7777,3,0.2302175164222717,7.414229974975565,54.97080612182617,491.8755462169647,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B8,42,3,0.2145082056522369,6.908316600796169,47.72483825683594,1511.6203045845032,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,123,3,0.2119202464818954,6.82496328937872,46.58012390136719,1531.978850364685,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,456,3,0.2183242738246917,7.031212565004513,49.437950134277344,1223.07843875885,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,789,3,0.2168130725622177,6.982543705230851,48.75591659545898,1392.2005705833435,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,1024,3,0.21585014462471,6.951531868487947,48.32379531860352,1499.3905489444733,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,2048,3,0.2161731570959091,6.961933445779756,48.4685173034668,1159.3029069900513,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,3000,3,0.2151386588811874,6.928613693490426,48.00568771362305,1145.583996295929,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,4096,3,0.2213575989007949,7.12890678510272,50.8213119506836,1144.6069762706757,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,5555,3,0.2197764664888382,7.077981640035504,50.09782409667969,1241.0149793624878,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,7777,3,0.2166732251644134,6.978040036795931,48.69304275512695,1622.4456615447998,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B6,42,4,0.1898832321166992,6.11524872243606,37.39626693725586,663.8356292247772,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,123,4,0.1892888844013214,6.096108317696935,37.16253662109375,486.2792685031891,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,456,4,0.1914540529251098,6.165840849696743,38.01759338378906,481.7107298374176,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,789,4,0.1859114170074463,5.987338057141758,35.84821701049805,481.0496747493744,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,1024,4,0.1898423731327057,6.113932672960358,37.38017272949219,482.58039379119873,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,2048,4,0.1977328360080719,6.368049273065454,40.55205154418945,481.4720318317413,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,3000,4,0.1887236088514328,6.077905018412331,36.9409294128418,482.3035807609558,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,4096,4,0.1945013850927353,6.263978813223251,39.237430572509766,482.66252088546753,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,5555,4,0.1886688470840454,6.076140170380962,36.91947937011719,483.08129048347473,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B6,7777,4,0.192177340388298,6.189133245520777,38.30537033081055,480.8316071033478,3,"x=[0.000,0.333];x=[0.333,0.667];x=[0.667,1.000]"
20221121,B8,42,4,0.1634352803230285,5.263490329081638,27.704330444335938,1113.2520627975464,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,123,4,0.1641577631235122,5.286755462965477,27.949783325195312,1110.0586745738983,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,456,4,0.1692910939455032,5.452076808452771,29.725141525268555,1130.383440732956,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
20221121,B8,789,4,0.1687744706869125,5.435438971317136,29.54399681091309,1193.951540708542,4,"x=[0.000,0.500];x=[0.500,1.000];x=[0.000,0.500];x=[0.500,1.000]"
