Dataset,Method,Seed,Sensors,L2,RMSE,MSE,Time,Subdomains,Splits
ngsim,B7_no_force,42,3,0.1862826943397522,5.226714127740307,27.318540573120117,125.56579995155334,1,"x=[0.000,1.000]"
ngsim,B7_no_force,123,3,0.18542343378067017,5.202605167116023,27.067100524902344,124.38599991798401,1,"x=[0.000,1.000]"
ngsim,B7_no_force,456,3,0.18489181995391846,5.187689168767069,26.912118911743164,125.21033310890198,1,"x=[0.000,1.000]"
ngsim,B7_no_force,789,3,0.19179369509220123,5.38134214032161,28.958843231201172,124.8052990436554,1,"x=[0.000,1.000]"
ngsim,B7_no_force,1024,3,0.18890343606472015,5.30024742412635,28.092622756958008,126.33401846885681,1,"x=[0.000,1.000]"
ngsim,B7_no_force,2048,3,0.18998460471630096,5.330582664376198,28.415111541748047,128.58184432983398,1,"x=[0.000,1.000]"
ngsim,B7_no_force,3000,3,0.18901118636131287,5.303270108469282,28.12467384338379,124.46580266952515,1,"x=[0.000,1.000]"
ngsim,B7_no_force,4096,3,0.18482092022895813,5.18569970202056,26.891481399536133,127.93117713928223,1,"x=[0.000,1.000]"
ngsim,B7_no_force,5555,3,0.18448148667812347,5.176176466337768,26.792802810668945,125.73986172676086,1,"x=[0.000,1.000]"
ngsim,B7_no_force,7777,3,0.1895466446876526,5.318293923750305,28.284250259399414,126.65789723396301,1,"x=[0.000,1.000]"
ngsim,B7_no_force,42,4,0.1718062460422516,4.820534081211853,23.237548828125,126.98611044883728,1,"x=[0.000,1.000]"
ngsim,B7_no_force,123,4,0.1635930836200714,4.5900897540456995,21.068923950195312,126.38663601875305,1,"x=[0.000,1.000]"
ngsim,B7_no_force,456,4,0.16912241280078888,4.745231644309295,22.517223358154297,125.05934929847717,1,"x=[0.000,1.000]"
ngsim,B7_no_force,789,4,0.16547611355781555,4.642924037912549,21.556743621826172,130.53423404693604,1,"x=[0.000,1.000]"
ngsim,B7_no_force,1024,4,0.16252325475215912,4.560072788862222,20.79426383972168,120.20725321769714,1,"x=[0.000,1.000]"
ngsim,B7_no_force,2048,4,0.16913971304893494,4.745717175775561,22.521831512451172,118.97138547897339,1,"x=[0.000,1.000]"
ngsim,B7_no_force,3000,4,0.16976091265678406,4.763146328059309,22.687562942504883,119.67478394508362,1,"x=[0.000,1.000]"
ngsim,B7_no_force,4096,4,0.16925205290317535,4.748869108798431,22.5517578125,118.39981842041016,1,"x=[0.000,1.000]"
ngsim,B7_no_force,5555,4,0.16558308899402618,4.645925455363225,21.584623336791992,118.74573040008545,1,"x=[0.000,1.000]"
ngsim,B7_no_force,7777,4,0.1694839596748352,4.755376082348305,22.613601684570312,119.36039590835571,1,"x=[0.000,1.000]"
ngsim,B7_no_force,42,5,0.15026426315307617,4.2161101947838775,17.775585174560547,118.60321426391602,1,"x=[0.000,1.000]"
ngsim,B7_no_force,123,5,0.15014560520648956,4.212780833858554,17.747522354125977,118.32238602638245,1,"x=[0.000,1.000]"
ngsim,B7_no_force,456,5,0.15682737529277802,4.400257770617078,19.362268447875977,118.39287328720093,1,"x=[0.000,1.000]"
ngsim,B7_no_force,789,5,0.1536179482936859,4.3102074763019855,18.57788848876953,118.54044342041016,1,"x=[0.000,1.000]"
ngsim,B7_no_force,1024,5,0.1517324000597,4.2573033579619235,18.124631881713867,118.33841156959534,1,"x=[0.000,1.000]"
ngsim,B7_no_force,2048,5,0.15485352277755737,4.344875491765032,18.87794303894043,118.33977818489075,1,"x=[0.000,1.000]"
